Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-32.8,89.42,"45,000.00 €"
50,50,-32.9,89.42,"45,000.00 €"
50,50,-33.0,89.41,"45,000.00 €"
50,50,-33.1,89.41,"45,000.00 €"
50,50,-33.2,89.40,"45,000.00 €"
50,50,-33.3,89.40,"45,000.00 €"
50,50,-33.4,89.39,"45,000.00 €"
50,50,-33.5,89.39,"45,000.00 €"
50,50,-33.6,89.38,"45,000.00 €"
50,50,-33.7,89.38,"45,000.00 €"
50,50,-33.8,89.37,"45,000.00 €"
50,50,-33.9,89.37,"45,000.00 €"
50,50,-34.0,89.36,"45,000.00 €"
50,50,-34.1,89.36,"45,000.00 €"
50,50,-34.2,89.36,"45,000.00 €"
50,50,-34.3,89.35,"45,000.00 €"
50,50,-34.4,89.35,"45,000.00 €"
50,50,-34.5,89.34,"45,000.00 €"
50,50,-34.6,89.34,"45,000.00 €"
50,50,-34.7,89.33,"45,000.00 €"
50,50,-34.8,89.33,"45,000.00 €"
50,50,-34.9,89.33,"45,000.00 €"
50,50,-35.0,89.32,"45,000.00 €"
50,50,-35.1,89.32,"45,000.00 €"
50,50,-35.2,89.31,"45,000.00 €"
50,50,-35.3,89.31,"45,000.00 €"
50,50,-35.4,89.31,"45,000.00 €"
50,50,-35.5,89.30,"45,000.00 €"
50,50,-35.6,89.30,"45,000.00 €"
50,50,-35.7,89.29,"45,000.00 €"
50,50,-35.8,89.29,"45,000.00 €"
50,50,-35.9,89.29,"45,000.00 €"
50,50,-36.0,89.28,"45,000.00 €"
50,50,-36.1,89.28,"45,000.00 €"
50,50,-36.2,89.27,"45,000.00 €"
50,50,-36.3,89.27,"45,000.00 €"
50,50,-36.4,89.27,"45,000.00 €"
50,50,-36.5,89.26,"45,000.00 €"
50,50,-36.6,89.26,"45,000.00 €"
50,50,-36.7,89.26,"45,000.00 €"
50,50,-36.8,89.25,"45,000.00 €"
50,50,-36.9,89.25,"45,000.00 €"
50,50,-37.0,89.25,"45,000.00 €"
50,50,-37.1,89.24,"45,000.00 €"
50,50,-37.2,89.24,"45,000.00 €"
50,50,-37.3,89.24,"45,000.00 €"
50,50,-37.4,89.23,"45,000.00 €"
50,50,-37.5,89.23,"45,000.00 €"
50,50,-37.6,89.23,"45,000.00 €"
50,50,-37.7,89.22,"45,000.00 €"
50,50,-37.8,89.22,"45,000.00 €"
50,50,-37.9,89.22,"45,000.00 €"
50,50,-38.0,89.21,"45,000.00 €"
50,50,-38.1,89.21,"45,000.00 €"
50,50,-38.2,89.21,"45,000.00 €"
50,50,-38.3,89.20,"45,000.00 €"
50,50,-38.4,89.20,"45,000.00 €"
50,50,-38.5,89.20,"45,000.00 €"
50,50,-38.6,89.19,"45,000.00 €"
50,50,-38.7,89.19,"45,000.00 €"
50,50,-38.8,89.19,"45,000.00 €"
50,50,-38.9,89.18,"45,000.00 €"
50,50,-39.0,89.18,"45,000.00 €"
50,50,-39.1,89.18,"45,000.00 €"
50,50,-39.2,89.18,"45,000.00 €"
50,50,-39.3,89.17,"45,000.00 €"
50,50,-39.4,89.17,"45,000.00 €"
50,50,-39.5,89.17,"45,000.00 €"
50,50,-39.6,89.17,"45,000.00 €"
50,50,-39.7,89.16,"45,000.00 €"
50,50,-39.8,89.16,"45,000.00 €"
50,50,-39.9,89.16,"45,000.00 €"
